WORD,LEMMA
dolt,dolt
operable,operable
projectors,projector
ransom,ransom
homosexuality,homosexuality
clack,clack
babydoll,babydoll
intentionality,intentionality
eights,eights
persists,persists
extensional,extensional
uridashi,uridashi
dressier,dressier
tyred,tyred
mikveh,mikveh
tree,tree
tetrahedron,tetrahedron
screensavers,screensavers
adhesives,adhesive
outworking,outworking
fortepiano,fortepiano
thisclose,thisclose
buddying,buddying
deez,deez
gravitationally,gravitationally
silos,silo
demesne,demesne
sellin,sellin
unruly,unruly
haberdasher,haberdasher
psychosexual,psychosexual
unattractive,unattractive
ancilliary,ancilliary
osmolality,osmolality
müssen,müssen
artillery,artillery
uncreative,uncreative
luxury,luxury
kat,kat
proselytisation,proselytisation
wage,wage
battlegroups,battlegroups
indentifies,indentifies
goalscorers,goalscorers
entirely,entirely
isomer,isomer
footwell,footwell
uncorked,uncorked
surpluses,surplus
sightline,sightline
sant,sant
ommission,ommission
crawfishing,crawfishing
unmetered,unmetered
controvert,controvert
serenading,serenade
rescreened,rescreened
concelebrated,concelebrated
mroe,mroe
terms,terms
rewilding,rewilding
itanium,itanium
feuded,feud
undrinkable,undrinkable
postures,posture
shiang,shiang
salesperson,salesperson
fitch,fitch
pasteurizer,pasteurizer
memoriam,memoriam
rockish,rockish
dragoon,dragoon
caesarean,caesarean
embargoed,embargoed
esthetically,esthetically
bonobos,bonobo
governorship,governorship
bliss,bliss
pollutions,pollution
intertribal,intertribal
worktops,worktops
ona,ona
dowdy,dowdy
schmaltz,schmaltz
vincent,vincent
tumor,tumor
précis,précis
responsiveness,responsiveness
ital,ital
sleepier,sleepier
skirt,skirt
shen,shen
bobbling,bobbling
dextroamphetamine,dextroamphetamine
antiwar,antiwar
centrals,centrals
hoaxes,hoax
pint,pint
detection,detection
gordon,gordon
levitation,levitation
plover,plover
cacciatore,cacciatore
shambled,shambled
slideoffs,slideoffs
fireproof,fireproof
practicals,practicals
lodgepoles,lodgepole
rotund,rotund
charm,charm
quickness,quickness
sheriffs,sheriff
physiatrists,physiatrists
bear,bear
masyadong,masyadong
porch,porch
socialists,socialist
bungled,bungle
mousers,mouser
littoral,littoral
debentures,debenture
clinched,clinched
overpromising,overpromising
held,held
dinged,dinged
passionately,passionately
radioactivity,radioactivity
capitalize,capitalize
idling,idle
glammed,glammed
sidestreets,sidestreets
jur,jur
crossed,cross
rito,rito
beastie,beastie
emotionally,emotionally
china,china
corridos,corridos
behave,behave
aji,aji
masseuse,masseuse
highways,highway
flabbergasting,flabbergasting
brulee,brulee
acropolis,acropolis
squirming,squirm
unlike,unlike
rangefinder,rangefinder
indicies,indicies
homeruns,homeruns
paracrine,paracrine
beause,beause
usefully,usefully
ika,ika
soupçon,soupçon
saltwater,saltwater
reinstalls,reinstalls
hayden,hayden
mormon,mormon
swiveled,swivel
iclaprim,iclaprim
outdistanced,outdistance
survivors,survivor
busy,busy
rashi,rashi
dismissals,dismissal
perfects,perfects
dispossessed,dispossess
fiddler,fiddler
bronc,bronc
sculptural,sculptural
idealized,idealized
pointe,pointe
constitutive,constitutive
digitized,digitize
softswitches,softswitches
congo,congo
covariates,covariates
undepreciated,undepreciated
wholistic,wholistic
slappy,slappy
ebooks,ebooks
attractors,attractor
riposted,riposte
afterwards,afterwards
camaro,camaro
cretinism,cretinism
disambiguation,disambiguation
inclining,inclining
nape,nape
disgracefully,disgracefully
retires,retires
fingerless,fingerless
epos,epos
solvent,solvent
doper,doper
lawmaker,lawmaker
quadrant,quadrant
iterates,iterates
resolvers,resolvers
courtiers,courtier
youngest,youngest
retiree,retiree
leptospirosis,leptospirosis
violent,violent
bedecking,bedecking
matadors,matador
opportune,opportune
stockbrokers,stockbroker
palookas,palookas
phrenology,phrenology
conformability,conformability
lactobacillus,lactobacillus
cryptogram,cryptogram
mexicans,mexican
forestry,forestry
teen,teen
insulin,insulin
universitywide,universitywide
hiders,hiders
germs,germ
aperitif,aperitif
proclaims,proclaims
malefactors,malefactor
snifter,snifter
nunchuk,nunchuk
workplan,workplan
constitute,constitute
force,force
repacking,repacking
decluttering,decluttering
mus,mus
echoey,echoey
financier,financier
circuit,circuit
artifically,artifically
uncoiled,uncoiled
ejaculated,ejaculate
couriered,couriered
responsibilities,responsibility
artisanship,artisanship
apparatchik,apparatchik
heliconia,heliconia
hyper,hyper
corrupting,corrupt
devaluations,devaluation
knowhow,knowhow
admiralty,admiralty
cocaptain,cocaptain
infallibility,infallibility
mimosas,mimosa
communites,communites
elastomer,elastomer
repulsed,repulse
etyres,etyres
spotter,spotter
assault,assault
ironworker,ironworker
sofa,sofa
carnally,carnally
wallflower,wallflower
inadvertently,inadvertently
topcoats,topcoat
atoned,atone
twelvefold,twelvefold
hapkido,hapkido
monoblock,monoblock
summersault,summersault
disassociation,disassociation
hedged,hedge
snowpark,snowpark
holey,holey
condoning,condone
favorited,favorited
crackdown,crackdown
holster,holster
distribution,distribution
unfiled,unfiled
lousiness,lousiness
diatomite,diatomite
duathletes,duathletes
sleeves,sleeve
battlelines,battlelines
macerating,macerate
stumpy,stumpy
flexibilty,flexibilty
bleated,bleat
unspiritual,unspiritual
teaspoon,teaspoon
sadar,sadar
humanist,humanist
evil,evil
gvt,gvt
mainboard,mainboard
supple,supple
stoney,stoney
doughty,doughty
hilt,hilt
grinders,grinder
nanoribbons,nanoribbons
pileated,pileated
triphendiol,triphendiol
cfs,cfs
realizations,realization
chinaman,chinaman
chorusing,chorus
parter,parter
teener,teener
feedbag,feedbag
eatin,eatin
beech,beech
fudges,fudge
nondisciplinary,nondisciplinary
profil,profil
bottlers,bottler
sleuth,sleuth
traipsing,traipse
resumed,resume
aunque,aunque
nonfederal,nonfederal
entering,enter
sarcophagi,sarcophagus
kretek,kretek
accomodation,accomodation
spoke,spoke
cack,cack
sidekicks,sidekick
puddles,puddle
airing,airing
columbaria,columbarium
emancipatory,emancipatory
minimalist,minimalist
vistors,vistors
aerobraking,aerobraking
triband,triband
eukaryotic,eukaryotic
featurephone,featurephone
instead,instead
skater,skater
megarich,megarich
avalanched,avalanche
denialists,denialists
peaked,peaked
gapping,gapping
hydroforming,hydroforming
bayed,bayed
celled,celled
complexions,complexion
jetliner,jetliner
european,european
noncompliant,noncompliant
superminis,superminis
dicussions,dicussions
emulsifier,emulsifier
flexicurity,flexicurity
sneezes,sneeze
nastier,nastier
advise,advise
swamis,swami
someplace,someplace
hybridize,hybridize
buffoonish,buffoonish
unvalidated,unvalidated
unrequested,unrequested
jamu,jamu
appended,append
porcelains,porcelain
aerostat,aerostat
sprinkle,sprinkle
aneurisms,aneurism
bolivar,bolivar
lively,lively
reassurances,reassurance
bronchioles,bronchioles
tees,tee
supercontinent,supercontinent
simmer,simmer
microvilli,microvilli
celibacy,celibacy
kina,kina
blini,blini
wristwatches,wristwatch
defeatists,defeatist
charred,charred
smoldering,smolder
power,power
downturns,downturn
preflighting,preflighting
tenters,tenters
atmopshere,atmopshere
entrant,entrant
romanticist,romanticist
eosinophils,eosinophil
atomic,atomic
trending,trend
homonyms,homonym
befooling,befooling
sliothar,sliothar
scrim,scrim
coveted,covet
twp,twp
loro,loro
voiced,voiced
brazing,brazing
berried,berry
bulldogged,bulldogged
enmeshing,enmesh
prothrombotic,prothrombotic
allured,allured
adumbrated,adumbrated
doshas,doshas
kickabout,kickabout
strombolis,strombolis
smishing,smishing
residentially,residentially
exclusiveness,exclusiveness
leucovorin,leucovorin
flails,flail
reversibly,reversibly
thermodynamically,thermodynamically
backpedal,backpedal
sonnets,sonnet
photosphere,photosphere
thebigword,thebigword
obverse,obverse
nonprofit,nonprofit
healthiest,healthiest
intubate,intubate
rips,rip
rages,rage
afterguard,afterguard
worthwhile,worthwhile
blackbucks,blackbuck
offsites,offsites
demolishment,demolishment
nwanews,nwanews
silvered,silvered
tailplane,tailplane
daredevils,daredevil
ungovernability,ungovernability
progressivist,progressivist
interdependent,interdependent
ahn,ahn
reinserted,reinserted
blacksmiths,blacksmith
rollicking,rollick
optionable,optionable
fll,fll
rabbis,rabbi
kaufen,kaufen
helpin,helpin
masochistic,masochistic
recommencing,recommence
misuses,misuse
overnutrition,overnutrition
toothbrushing,toothbrushing
yahoo,yahoo
decentralizing,decentralize
observance,observance
caravaning,caravaning
pratfalling,pratfalling
frivolous,frivolous
rubs,rub
edutainment,edutainment
penalize,penalize
withdraws,withdraws
trooper,trooper
urging,urge
preface,preface
enrage,enrage
irresolvable,irresolvable
profligately,profligately
microcircuits,microcircuit
graffito,graffito
listener,listener
noblesse,noblesse
barmen,barman
preemptively,preemptively
gurs,gurs
yuks,yuks
nursery,nursery
ghetto,ghetto
jugaad,jugaad
faithfull,faithfull
vocab,vocab
shopworn,shopworn
gunman,gunman
orzo,orzo
harebrained,harebrained
crowdsourcing,crowdsourcing
aol,aol
vaudevillian,vaudevillian
technophiles,technophile
season,season
feng,feng
saimin,saimin
overstayer,overstayer
regarding,regard
prompting,prompt
cottontail,cottontail
lunged,lunge
parkinsonism,parkinsonism
jawbone,jawbone
typo,typo
unverified,unverified
outgrowths,outgrowth
sadhus,sadhu
staining,stain
rematch,rematch
kbp,kbp
unhinge,unhinge
palpably,palpably
appealled,appealled
healthily,healthily
fanciest,fanciest
thrombectomy,thrombectomy
secretively,secretively
specified,specify
kabaddi,kabaddi
unconvicted,unconvicted
eld,eld
lustration,lustration
institutionalizes,institutionalizes
getting,get
cadastral,cadastral
lisianthus,lisianthus
shamefully,shamefully
politest,politest
onfield,onfield
sista,sista
pearl,pearl
bilion,bilion
critera,critera
actualresults,actualresults
trend,trend
conscience,conscience
frivilous,frivilous
dentin,dentin
readjusting,readjust
unlistenable,unlistenable
bushwhackers,bushwhackers
pentachlorophenol,pentachlorophenol
peerages,peerage
eyepatch,eyepatch
filmstar,filmstar
stir,stir
vivaciously,vivaciously
textiles,textile
suffocates,suffocates
min,min
indecision,indecision
maintainability,maintainability
offbalance,offbalance
kneeling,kneel
piecemealing,piecemealing
equivalent,equivalent
stockbroker,stockbroker
parathyroid,parathyroid
disruptor,disruptor
politicizing,politicize
middens,midden
optical,optical
ruminative,ruminative
teaspoons,teaspoon
equities,equity
bust,bust
ultracheap,ultracheap
reattachment,reattachment
craveable,craveable
predesignated,predesignated
sphinx,sphinx
commish,commish
spirometer,spirometer
strides,strides
paratroops,paratroops
desulphurization,desulphurization
wears,wear
momentousness,momentousness
paczki,paczki
yodels,yodel
snail,snail
loser,loser
glamor,glamor
characters,character
mux,mux
misogyny,misogyny
fineprint,fineprint
two,two
ideologists,ideologist
old,old
flautist,flautist
tills,tills
moppets,moppet
deicer,deicer
somethng,somethng
anogenital,anogenital
alabama,alabama
adultery,adultery
shiny,shiny
termly,termly
abhinaya,abhinaya
riveters,riveter
paunchy,paunchy
watercoolers,watercoolers
criterion,criterion
latticework,latticework
preformatted,preformatted
fortunes,fortune
sara,sara
corey,corey
prettiest,prettiest
staked,staked
brea,brea
encountering,encounter
pluots,pluots
specimens,specimen
cruellest,cruellest
facetious,facetious
started,start
explain,explain
minigolf,minigolf
greybeard,greybeard
pegfilgrastim,pegfilgrastim
ascendancy,ascendancy
counterrevolutionaries,counterrevolutionary
puffin,puffin
confectionery,confectionery
css,css
dopants,dopants
belligerently,belligerently
fundas,fundas
furtively,furtively
fractionate,fractionate
provider,provider
superyacht,superyacht
electives,electives
cataplexy,cataplexy
psychiatrists,psychiatrist
kittens,kitten
plc,plc
activate,activate
manhandled,manhandle
harmonizing,harmonize
forcedly,forcedly
outweighed,outweigh
nonhospital,nonhospital
unambitious,unambitious
armlock,armlock
threshing,threshing
federated,federate
alighted,alighted
ferrochrome,ferrochrome
vidgame,vidgame
disgustingly,disgustingly
satisfaction,satisfaction
retailing,retailing
clivia,clivia
belay,belay
shipbroker,shipbroker
napping,nap
hid,hid
reoccurrences,reoccurrences
showgirls,showgirl
stimulate,stimulate
haloperidol,haloperidol
mothballs,mothballs
crossborder,crossborder
objectors,objector
cotto,cotto
falsehoods,falsehood
photosynthesis,photosynthesis
scroller,scroller
swale,swale
transited,transited
tantalised,tantalise
shielding,shield
rescinds,rescinds
malba,malba
curtsy,curtsy
sedulously,sedulously
beadwork,beadwork
stalement,stalement
outrebounding,outrebounding
admiral,admiral
overdrawing,overdraw
biochemist,biochemist
solidify,solidify
hyperlipidemia,hyperlipidemia
unsupervised,unsupervised
nonporous,nonporous
oleander,oleander
dualism,dualism
pulmonologist,pulmonologist
bricolage,bricolage
twirlers,twirler
gastroscopy,gastroscopy
unpolluted,unpolluted
caginess,caginess
germinate,germinate
aux,aux
outsoles,outsole
wows,wow
capitulate,capitulate
watchlists,watchlists
sautés,sautés
advice,advice
condotels,condotels
relaxes,relaxes
misappropriation,misappropriation
geosynthetics,geosynthetics
atin,atin
chatelaine,chatelaine
reappraisals,reappraisal
rootsy,rootsy
revaccinate,revaccinate
posole,posole
swatting,swat
crossdresser,crossdresser
unemployement,unemployement
gherkin,gherkin
altos,alto
superfights,superfights
wid,wid
sensitized,sensitize
subdue,subdue
egalitarians,egalitarians
recompose,recompose
deregulates,deregulates
osteopaths,osteopaths
particpation,particpation
piscine,piscine
cowtown,cowtown
stunted,stunted
sop,sop
maquila,maquila
bottlenecked,bottleneck
trespassers,trespasser
peacoat,peacoat
choosen,choosen
tampa,tampa
headquartering,headquartering
cryptologist,cryptologist
biennales,biennales
predicated,predicated
acidosis,acidosis
subedar,subedar
tat,tat
lifter,lifter
codicil,codicil
liriope,liriope
vinaigrettes,vinaigrette
floodgates,floodgate
tarmacs,tarmac
unshaven,unshaven
skeeter,skeeter
aimlessness,aimlessness
riposte,riposte
antitheft,antitheft
telephony,telephony
warmongering,warmongering
chateau,chateau
cinderblocks,cinderblocks
terraces,terrace
stately,stately
crocus,crocus
unenhanced,unenhanced
biogeography,biogeography
mailroom,mailroom
fusible,fusible
stipends,stipend
seemed,seem
cosmetic,cosmetic
hoe,hoe
dingo,dingo
lacerate,lacerate
opion,opion
timestamp,timestamp
ometer,ometer
transcriptions,transcription
upstages,upstages
inkless,inkless
waitlisted,waitlisted
astrovan,astrovan
polyol,polyol
underpayments,underpayment
tryline,tryline
allows,allows
frothed,froth
vitalize,vitalize
logbook,logbook
emblazed,emblazed
homers,homer
metallised,metallised
micronized,micronized
cupidity,cupidity
headings,headings
postmatch,postmatch
unsnapped,unsnapped
grasp,grasp
southcentral,southcentral
subnational,subnational
earmuffs,earmuff
passcode,passcode
μsec,μsec
cored,cored
heartaches,heartache
siltstone,siltstone
custards,custard
reunified,reunify
inscription,inscription
availed,avail
deejay,deejay
inclusions,inclusion
retrieves,retrieves
toned,toned
nuovo,nuovo
merchanting,merchanting
latches,latch
pinkish,pinkish
square,square
goblet,goblet
decliners,decliners
stint,stint
sittings,sittings
huddle,huddle
wakeskaters,wakeskaters
ups,ups
ladettes,ladettes
yogis,yogi
toccata,toccata
mitten,mitten
behalves,behalf
monogramming,monogramming
protected,protect
oropharynx,oropharynx
vittles,vittles
sunstroke,sunstroke
hangover,hangover
herbivory,herbivory
straggling,straggle
cowed,cowed
biriyani,biriyani
muddiness,muddiness
summitry,summitry
bhelpuri,bhelpuri
interviewees,interviewee
princely,princely
statewide,statewide
loopback,loopback
manservant,manservant
buzzworthy,buzzworthy
millwright,millwright
rpt,rpt
tearjerkers,tearjerker
foxhound,foxhound
winterberry,winterberry
tragic,tragic
coupés,coupés
satraplatin,satraplatin
inveighed,inveigh
rubberwood,rubberwood
measles,measles
shackling,shackle
bale,bale
forgotton,forgotton
moonsault,moonsault
timecard,timecard
spatial,spatial
synchronous,synchronous
mediators,mediator
stool,stool
directivity,directivity
nations,nations
colonists,colonist
isometrics,isometrics
acton,acton
scrawls,scrawl
bookclub,bookclub
unvisited,unvisited
westwards,westward
pretentiousness,pretentiousness
mediastinoscopy,mediastinoscopy
lychee,lychee
stiflingly,stiflingly
showrunners,showrunners
bots,bot
mileage,mileage
genres,genre
recrimination,recrimination
losing,lose
driveshafts,driveshaft
retried,retry
casitas,casitas
agriculture,agriculture
scenesters,scenesters
terrines,terrine
sixmonth,sixmonth
gigabit,gigabit
retransmits,retransmits
deflates,deflates
squares,square
gulp,gulp
rubbin,rubbin
appraise,appraise
madrigals,madrigal
jetstream,jetstream
autoclaved,autoclave
destress,destress
cheesemaking,cheesemaking
ancillaries,ancillaries
sooks,sooks
conservatorship,conservatorship
occupational,occupational
portentousness,portentousness
propitiate,propitiate
couch,couch
workstyle,workstyle
murmur,murmur
keggers,keggers
guidettes,guidettes
cruelty,cruelty
beautician,beautician
mobo,mobo
swede,swede
rollbacks,rollback
hairbrush,hairbrush
cats,cat
miscellany,miscellany
potentate,potentate
cyberbullies,cyberbullies
averments,averment
hornbills,hornbill
trop,trop
structurals,structurals
burglars,burglar
punchers,puncher
puncturing,puncture
retreads,retread
rekey,rekey
housecoats,housecoat
viola,viola
abraded,abrade
planograms,planograms
ontop,ontop
bailing,bailing
clumped,clumped
straits,strait
prostaglandin,prostaglandin
snorkeling,snorkel
dunams,dunams
nurturer,nurturer
paces,paces
